density,eaten,alive,prey-host.plant-predator.sex
30,30,0,mite-bean-F
30,30,0,mite-bean-F
30,30,0,mite-bean-F
30,23,7,mite-bean-F
30,12,18,mite-bean-F
30,30,0,mite-bean-F
30,30,0,mite-bean-F
30,26,4,mite-bean-F
30,30,0,mite-bean-F
30,23,7,mite-bean-F
30,28,2,mite-bean-F
30,21,9,mite-bean-F
30,30,0,mite-bean-F
30,17,13,mite-bean-F
30,11,19,mite-bean-F
50,50,0,mite-bean-F
50,50,0,mite-bean-F
50,31,19,mite-bean-F
50,50,0,mite-bean-F
50,46,4,mite-bean-F
50,48,2,mite-bean-F
50,43,7,mite-bean-F
50,36,14,mite-bean-F
50,50,0,mite-bean-F
50,50,0,mite-bean-F
50,35,15,mite-bean-F
50,50,0,mite-bean-F
50,32,18,mite-bean-F
50,50,0,mite-bean-F
50,47,3,mite-bean-F
100,55,45,mite-bean-F
100,69,31,mite-bean-F
100,79,21,mite-bean-F
100,50,50,mite-bean-F
100,85,15,mite-bean-F
100,92,8,mite-bean-F
100,35,65,mite-bean-F
100,88,12,mite-bean-F
100,54,46,mite-bean-F
100,100,0,mite-bean-F
100,89,11,mite-bean-F
100,84,16,mite-bean-F
100,96,4,mite-bean-F
100,82,18,mite-bean-F
100,30,70,mite-bean-F
150,112,38,mite-bean-F
150,140,10,mite-bean-F
150,61,89,mite-bean-F
150,79,71,mite-bean-F
150,82,68,mite-bean-F
150,24,126,mite-bean-F
150,18,132,mite-bean-F
150,24,126,mite-bean-F
150,51,99,mite-bean-F
150,83,67,mite-bean-F
150,37,113,mite-bean-F
150,97,53,mite-bean-F
150,106,44,mite-bean-F
150,116,34,mite-bean-F
150,32,118,mite-bean-F
200,147,53,mite-bean-F
200,139,61,mite-bean-F
200,164,36,mite-bean-F
200,142,58,mite-bean-F
200,122,78,mite-bean-F
200,126,74,mite-bean-F
200,91,109,mite-bean-F
200,79,121,mite-bean-F
200,80,120,mite-bean-F
200,100,100,mite-bean-F
200,81,119,mite-bean-F
200,110,90,mite-bean-F
200,120,80,mite-bean-F
200,174,26,mite-bean-F
200,136,64,mite-bean-F
250,112,138,mite-bean-F
250,78,172,mite-bean-F
250,66,184,mite-bean-F
250,176,74,mite-bean-F
250,102,148,mite-bean-F
250,76,174,mite-bean-F
250,124,126,mite-bean-F
250,134,116,mite-bean-F
250,72,178,mite-bean-F
250,78,172,mite-bean-F
250,141,109,mite-bean-F
250,112,138,mite-bean-F
250,106,144,mite-bean-F
250,65,185,mite-bean-F
250,77,173,mite-bean-F
30,27,3,mite-eggplant-F
30,28,2,mite-eggplant-F
30,26,4,mite-eggplant-F
30,29,1,mite-eggplant-F
30,29,1,mite-eggplant-F
30,30,0,mite-eggplant-F
30,30,0,mite-eggplant-F
30,30,0,mite-eggplant-F
30,27,3,mite-eggplant-F
30,29,1,mite-eggplant-F
50,36,14,mite-eggplant-F
50,38,12,mite-eggplant-F
50,48,2,mite-eggplant-F
50,45,5,mite-eggplant-F
50,41,9,mite-eggplant-F
50,43,7,mite-eggplant-F
50,42,8,mite-eggplant-F
50,39,11,mite-eggplant-F
50,47,3,mite-eggplant-F
50,46,4,mite-eggplant-F
100,88,12,mite-eggplant-F
100,64,36,mite-eggplant-F
100,85,15,mite-eggplant-F
100,41,59,mite-eggplant-F
